600 0
599.995 5
599.979 9.99997
599.953 14.9999
599.917 19.9998
599.87 24.9995
599.813 29.9992
599.745 34.9988
599.667 39.9982
599.579 44.9974
599.48 49.9964
599.372 54.9952
599.252 59.9938
599.123 64.9921
598.984 69.9902
598.834 74.9879
598.674 79.9854
598.505 84.9825
598.325 89.9793
598.135 94.9757
597.936 99.9717
597.726 104.967
597.507 109.962
597.278 114.957
597.039 119.952
596.791 124.945
596.533 129.939
596.266 134.932
595.989 139.924
595.703 144.916
595.407 149.907
595.103 154.898
594.789 159.888
594.466 164.877
594.135 169.866
593.794 174.855
593.445 179.843
593.087 184.83
592.72 189.816
592.344 194.802
591.961 199.787
591.569 204.772
591.168 209.756
590.76 214.739
590.343 219.722
589.918 224.704
589.486 229.685
589.046 234.666
588.598 239.645
588.142 244.625
587.679 249.603
587.208 254.581
586.73 259.558
586.245 264.534
585.753 269.51
585.254 274.485
584.748 279.46
584.235 284.433
583.715 289.406
583.189 294.378
582.656 299.35
582.117 304.321
581.572 309.291
581.02 314.26
580.462 319.229
579.899 324.197
579.329 329.165
578.754 334.131
578.172 339.098
577.586 344.063
576.993 349.028
576.396 353.992
575.793 358.956
575.185 363.918
574.571 368.881
573.953 373.842
573.33 378.803
572.701 383.764
572.069 388.723
571.431 393.683
570.789 398.641
570.142 403.599
569.491 408.557
568.836 413.514
568.177 418.47
567.513 423.426
566.845 428.381
566.174 433.336
565.498 438.29
564.819 443.243
564.136 448.196
563.449 453.149
562.759 458.101
562.065 463.053
561.368 468.004
560.668 472.955
559.964 477.905
559.257 482.855
558.547 487.804
557.834 492.753
557.118 497.701
